Ingredients Prohibited in the USA,,,Reasons
tetrachlorosalicylanide,,,
mercury,,,
,,,
Ingredients Prohibited in Europe,,,
hexachlorophene,,Its salts,
Hydrocarbons,,,
Chlorphenoxamine (INN),,Natural and synthetic: All substances listed in Tables I and II,
Colouring agent CI 13065,,,
Ndimethyl,,,
Phenol,,,
Phytonadione [INCI],,,
phytomenadione [INN],,,
"Fuel gases, crude oil distaillates",,,
"Benactyzine (INN)
",,,
Deanol aceglumate (INN),,,
Thiourea,,,
"Petrichloral (INN)
",,,
Phenylhydrazine hydrochloride,,,
"4 -Methoxytoluene-2,5-diamine",,,
#NAME?,,,
Tetrahydrothiopyran,,,
Thallium,,,
tetrachlorosalicylanilide,,,
Hexachlorophene,,,
"Sultiame (INN)
",,,
Ziram,,,
Nicotine,,,
Formamide,,,
